Tamanho,Tempo,Desvio,Imagem,Threads,Programa
1024,0.05144,0.00102,full,16,mandelbrot_omp
2048,0.19634,0.00220,full,16,mandelbrot_omp
4096,0.76417,0.00517,full,16,mandelbrot_omp
8192,3.0248,0.0222,full,16,mandelbrot_omp
16,0.0007166,0.0000204,triple_spiral,4,mandelbrot_omp
32,0.0010280,0.0000209,triple_spiral,4,mandelbrot_omp
64,0.0024156,0.0000268,triple_spiral,4,mandelbrot_omp
128,0.0069132,0.0000263,triple_spiral,4,mandelbrot_omp
256,0.0270136,0.0000871,triple_spiral,4,mandelbrot_omp
512,0.10596,0.00103,triple_spiral,4,mandelbrot_omp
1024,0.41836,0.00174,triple_spiral,4,mandelbrot_omp
2048,1.66787,0.00199,triple_spiral,4,mandelbrot_omp
4096,6.67452,0.00300,triple_spiral,4,mandelbrot_omp
8192,26.72719,0.00509,triple_spiral,4,mandelbrot_omp
16,0.0021219,0.0000412,elephant,32,mandelbrot_omp
32,0.0020699,0.0000328,elephant,32,mandelbrot_omp
64,0.0027889,0.0000332,elephant,32,mandelbrot_omp
128,0.0057954,0.0000727,elephant,32,mandelbrot_omp
256,0.018249,0.000230,elephant,32,mandelbrot_omp
512,0.064122,0.000959,elephant,32,mandelbrot_omp
1024,0.24480,0.00426,elephant,32,mandelbrot_omp
2048,0.94075,0.00359,elephant,32,mandelbrot_omp
4096,3.72575,0.00637,elephant,32,mandelbrot_omp
8192,14.8860,0.0158,elephant,32,mandelbrot_omp
16,0.0006859,0.0000174,seahorse,2,mandelbrot_omp
32,0.001509,0.000217,seahorse,2,mandelbrot_omp
64,0.0031482,0.0000183,seahorse,2,mandelbrot_omp
128,0.011559,0.000236,seahorse,2,mandelbrot_omp
256,0.041252,0.000189,seahorse,2,mandelbrot_omp
512,0.15510,0.00104,seahorse,2,mandelbrot_omp
1024,0.599394,0.000957,seahorse,2,mandelbrot_omp
2048,2.37723,0.00545,seahorse,2,mandelbrot_omp
4096,9.45502,0.00789,seahorse,2,mandelbrot_omp
8192,38.0282,0.0536,seahorse,2,mandelbrot_omp
16,0.0006605,0.0000142,triple_spiral,2,mandelbrot_pth
32,0.0011831,0.0000166,triple_spiral,2,mandelbrot_pth
64,0.0033111,0.0000123,triple_spiral,2,mandelbrot_pth
128,0.0115705,0.0000261,triple_spiral,2,mandelbrot_pth
256,0.041337,0.000219,triple_spiral,2,mandelbrot_pth
512,0.161048,0.000812,triple_spiral,2,mandelbrot_pth
1024,0.64160,0.00170,triple_spiral,2,mandelbrot_pth
2048,2.56489,0.00357,triple_spiral,2,mandelbrot_pth
4096,10.26775,0.00764,triple_spiral,2,mandelbrot_pth
8192,41.0606,0.0431,triple_spiral,2,mandelbrot_pth
16,0.0006555,0.0000239,elephant,2,mandelbrot_pth
32,0.0011793,0.0000118,elephant,2,mandelbrot_pth
64,0.0032789,0.0000130,elephant,2,mandelbrot_pth
128,0.0117164,0.0000587,elephant,2,mandelbrot_pth
256,0.041998,0.000213,elephant,2,mandelbrot_pth
512,0.157002,0.000872,elephant,2,mandelbrot_pth
1024,0.62079,0.00216,elephant,2,mandelbrot_pth
2048,2.44396,0.00249,elephant,2,mandelbrot_pth
4096,9.7690,0.0113,elephant,2,mandelbrot_pth
8192,39.0568,0.0455,elephant,2,mandelbrot_pth
16,0.0009352,0.0000177,seahorse,16,mandelbrot_pth
32,0.001354,0.000187,seahorse,16,mandelbrot_pth
64,0.0018632,0.0000623,seahorse,16,mandelbrot_pth
128,0.005377,0.000167,seahorse,16,mandelbrot_pth
256,0.016811,0.000268,seahorse,16,mandelbrot_pth
512,0.067256,0.000670,seahorse,16,mandelbrot_pth
1024,0.25756,0.00372,seahorse,16,mandelbrot_pth
2048,1.03798,0.00648,seahorse,16,mandelbrot_pth
4096,4.0779,0.0108,seahorse,16,mandelbrot_pth
8192,16.1116,0.0225,seahorse,16,mandelbrot_pth
16,0.0005302,0.0000240,full,2,mandelbrot_pth
32,0.0006339,0.0000136,full,2,mandelbrot_pth
64,0.0009959,0.0000178,full,2,mandelbrot_pth
128,0.0023156,0.0000149,full,2,mandelbrot_pth
256,0.0076013,0.0000987,full,2,mandelbrot_pth
512,0.0260525,0.0000482,full,2,mandelbrot_pth
1024,0.096891,0.000667,full,2,mandelbrot_pth
2048,0.37155,0.00239,full,2,mandelbrot_pth
4096,1.46647,0.00328,full,2,mandelbrot_pth
8192,5.8512,0.0121,full,2,mandelbrot_pth
16,0.0006192,0.0000141,elephant,8,mandelbrot_pth
32,0.0007849,0.0000154,elephant,8,mandelbrot_pth
64,0.0014492,0.0000349,elephant,8,mandelbrot_pth
128,0.0041478,0.0000177,elephant,8,mandelbrot_pth
256,0.016680,0.000108,elephant,8,mandelbrot_pth
512,0.070460,0.000387,elephant,8,mandelbrot_pth
1024,0.279953,0.000368,elephant,8,mandelbrot_pth
2048,1.11318,0.00595,elephant,8,mandelbrot_pth
4096,4.39753,0.00955,elephant,8,mandelbrot_pth
8192,17.54022,0.00712,elephant,8,mandelbrot_pth
16,0.0007162,0.0000250,seahorse,1,mandelbrot_pth
32,0.001632,0.000159,seahorse,1,mandelbrot_pth
64,0.0042104,0.0000167,seahorse,1,mandelbrot_pth
128,0.015681,0.000170,seahorse,1,mandelbrot_pth
256,0.061427,0.000544,seahorse,1,mandelbrot_pth
512,0.22896,0.00187,seahorse,1,mandelbrot_pth
1024,0.89947,0.00293,seahorse,1,mandelbrot_pth
2048,3.5859,0.0124,seahorse,1,mandelbrot_pth
4096,14.3301,0.0394,seahorse,1,mandelbrot_pth
8192,56.987,0.124,seahorse,1,mandelbrot_pth
16,0.0006623,0.0000572,elephant,4,mandelbrot_pth
32,0.0008156,0.0000130,elephant,4,mandelbrot_pth
64,0.0018599,0.0000148,elephant,4,mandelbrot_pth
128,0.0062523,0.0000434,elephant,4,mandelbrot_pth
